f1-Re,f1-Im,f2-Re,f2-Im,f3-Re,f3-Im,f4-Re,f4-Im,f5-Re,f5-Im,f6-Re,f6-Im,f7-Re,f7-Im,f8-Re,f8-Im,f9-Re,f9-Im,f10-Re,f10-Im,f11-Re,f11-Im,f12-Re,f12-Im,f13-Re,f13-Im,f14-Re,f14-Im,f15-Re,f15-Im,f16-Re,f16-Im,f17-Re,f17-Im,f18-Re,f18-Im,f19-Re,f19-Im,f20-Re,f20-Im,f21-Re,f21-Im,f22-Re,f22-Im,f23-Re,f23-Im,f24-Re,f24-Im,f25-Re,f25-Im,f26-Re,f26-Im,f27-Re,f27-Im,f28-Re,f28-Im,SoC,Battery,cycle
0.168425,-0.0708267,0.142909,-0.0538833,0.131938,-0.0445854,0.121529,-0.0348292,0.114185,-0.0279624,0.11121,-0.0252818,0.103516,-0.0188157,0.0998812,-0.0160064,0.0960113,-0.0132601,0.0929655,-0.0113757,0.091654,-0.0106573,0.0879156,-0.0089774,0.0859365,-0.00828442,0.0835839,-0.00758974,0.0816183,-0.00714153,0.0807529,-0.00701328,0.0803701,-0.00695019,0.0778242,-0.00696733,0.0761489,-0.00716055,0.0729193,-0.00743744,0.0714639,-0.00749248,0.070364,-0.0075083,0.0698983,-0.00747346,0.0665007,-0.00713974,0.0645711,-0.00674582,0.0621753,-0.00598415,0.0600153,-0.00497136,0.0590205,-0.00439523,15,B01,2
0.165176,-0.0699312,0.139882,-0.0526302,0.129175,-0.0433195,0.119093,-0.0336651,0.112042,-0.0269146,0.109194,-0.0243035,0.10186,-0.0179715,0.0984181,-0.0152374,0.0947612,-0.0125498,0.0919251,-0.010733,0.0907019,-0.0100384,0.0872366,-0.00848374,0.085363,-0.00786602,0.0831434,-0.00727319,0.08124,-0.00688758,0.0803885,-0.00680234,0.0800118,-0.00673342,0.0775125,-0.0068361,0.0758985,-0.00701315,0.0726714,-0.00737691,0.0712262,-0.00744926,0.0701458,-0.00746464,0.0696553,-0.00743429,0.0662989,-0.00711999,0.0643421,-0.00672221,0.0619243,-0.00599833,0.0597278,-0.00496993,0.0587576,-0.00438073,20,B01,2
0.162034,-0.0653094,0.137645,-0.0500793,0.127258,-0.0414633,0.117481,-0.0323409,0.110654,-0.0258925,0.107909,-0.0233933,0.100821,-0.0173028,0.0975069,-0.0146529,0.0939987,-0.0120694,0.0912677,-0.0102966,0.090109,-0.00964251,0.0867938,-0.0081647,0.0850006,-0.00757242,0.082872,-0.00705861,0.0810163,-0.00675425,0.0801634,-0.00663741,0.0798271,-0.00662473,0.077346,-0.00676207,0.0756878,-0.00698691,0.0725224,-0.00734848,0.0710744,-0.00739862,0.0700082,-0.00740893,0.0694856,-0.00740008,0.06619,-0.00712229,0.0641992,-0.0067565,0.0617761,-0.00600519,0.0595904,-0.00499368,0.0585909,-0.00439407,25,B01,2
0.158852,-0.0624632,0.13505,-0.0480616,0.124965,-0.0397618,0.115542,-0.0309746,0.108988,-0.0247703,0.106371,-0.022364,0.0996058,-0.0165253,0.096442,-0.0139805,0.0931035,-0.0114967,0.0905217,-0.00979977,0.0894215,-0.00916969,0.0862948,-0.00776078,0.0846024,-0.00723382,0.0825691,-0.00681179,0.0807737,-0.00656645,0.0799545,-0.00649778,0.0795836,-0.00648839,0.0771286,-0.00659103,0.0755307,-0.00688973,0.0723507,-0.00726135,0.0709479,-0.00736362,0.0698533,-0.00737019,0.0693826,-0.0073712,0.066051,-0.00711203,0.0640512,-0.00673162,0.0616004,-0.00602373,0.0594023,-0.00501157,0.0584047,-0.00440473,30,B01,2
0.156108,-0.060129,0.132811,-0.0465543,0.122973,-0.0385468,0.113845,-0.0299889,0.107522,-0.0239238,0.105001,-0.0215898,0.0985147,-0.0159011,0.0954865,-0.0134309,0.0922998,-0.0110148,0.0898453,-0.00938213,0.0887881,-0.00876367,0.0858278,-0.00743962,0.084226,-0.00694526,0.082259,-0.00653706,0.0805434,-0.00636964,0.0797205,-0.00632149,0.0793954,-0.00631368,0.0769757,-0.00654389,0.0753994,-0.006796,0.0722399,-0.00719643,0.0708497,-0.00729854,0.0697773,-0.00733674,0.0692797,-0.00732769,0.0659543,-0.00708929,0.0639859,-0.00672703,0.0615401,-0.00602811,0.0593098,-0.00501639,0.0583075,-0.00439855,35,B01,2
0.1534,-0.0587515,0.130437,-0.0454616,0.120858,-0.0375557,0.112011,-0.0290755,0.105967,-0.0231191,0.103552,-0.0208162,0.0973741,-0.0152539,0.094499,-0.0128481,0.0914684,-0.0105077,0.0891533,-0.00892875,0.0881477,-0.00833351,0.0853752,-0.00707144,0.0838463,-0.0066363,0.0819867,-0.00627464,0.0803266,-0.00615663,0.0795358,-0.00612559,0.0792134,-0.00614799,0.0768364,-0.006393,0.0752664,-0.00665211,0.0721825,-0.00712102,0.0707799,-0.00721642,0.0697295,-0.0072425,0.0692412,-0.00726651,0.0659409,-0.00705451,0.0639779,-0.00670205,0.0615259,-0.00601297,0.0592919,-0.00501748,0.0582888,-0.00439961,40,B01,2
0.151429,-0.0574943,0.128688,-0.0446111,0.119261,-0.0368132,0.110626,-0.0284246,0.10477,-0.0225324,0.102438,-0.020254,0.0964814,-0.0147681,0.0937232,-0.0124157,0.0908258,-0.0101206,0.0886019,-0.00857144,0.0876636,-0.0080021,0.0850203,-0.00678681,0.0835756,-0.00638807,0.0817881,-0.00609132,0.0801776,-0.00595541,0.0794159,-0.00595934,0.0790802,-0.00601129,0.076762,-0.00628048,0.0751916,-0.00657289,0.0721477,-0.0070383,0.0707902,-0.00714437,0.0697266,-0.00719919,0.0692215,-0.00721422,0.0659407,-0.00700587,0.0639842,-0.00666361,0.0615183,-0.00599733,0.0593087,-0.0050066,0.0583273,-0.00439063,45,B01,2
0.14957,-0.0570455,0.126959,-0.0441172,0.11767,-0.0362958,0.109237,-0.0278937,0.103547,-0.0220189,0.101307,-0.0197716,0.0955546,-0.0143406,0.0929014,-0.0120166,0.0901243,-0.00976156,0.088,-0.00823399,0.0871061,-0.00768144,0.0845879,-0.00648967,0.0832383,-0.00611506,0.0815314,-0.00583893,0.07999,-0.00580461,0.0792451,-0.00579817,0.0789145,-0.00579659,0.0766501,-0.0061665,0.0751332,-0.0064588,0.0721253,-0.00696942,0.0707173,-0.00709463,0.0696799,-0.00713413,0.0692159,-0.00714419,0.0659653,-0.00696231,0.0640192,-0.00665105,0.0615678,-0.00599828,0.0593346,-0.00500533,0.0583411,-0.00439642,50,B01,2
0.147734,-0.0562511,0.125427,-0.0434734,0.116331,-0.0357072,0.108088,-0.0273668,0.102542,-0.0215353,0.100363,-0.0193188,0.0947905,-0.0139597,0.0922195,-0.0116748,0.0895376,-0.00945428,0.0874983,-0.00796438,0.08663,-0.00741128,0.0842373,-0.00625068,0.0829292,-0.00588701,0.0813072,-0.0056387,0.0798272,-0.00562738,0.0790919,-0.00566571,0.0787835,-0.00568004,0.0765788,-0.00600481,0.0750569,-0.00634668,0.0720731,-0.00687726,0.0707159,-0.00699024,0.0696814,-0.00707162,0.0692098,-0.00706434,0.0659672,-0.0069174,0.0640255,-0.00663115,0.061612,-0.00596578,0.0593796,-0.00499705,0.0583687,-0.00439903,55,B01,2
0.182033,-0.104468,0.153463,-0.0725553,0.141077,-0.0580323,0.129268,-0.0440035,0.120899,-0.034597,0.117482,-0.0310246,0.10866,-0.0227278,0.104423,-0.0192205,0.0998718,-0.0158541,0.096254,-0.0135481,0.0946878,-0.0126702,0.090251,-0.0105448,0.0879315,-0.00960252,0.0852554,-0.00861751,0.0830675,-0.0079493,0.0821132,-0.00774032,0.0817092,-0.0076865,0.0789323,-0.00759024,0.0770899,-0.0077264,0.0736104,-0.00784579,0.0721087,-0.0078266,0.0709883,-0.00776181,0.0704677,-0.00770515,0.0671034,-0.00725451,0.0651349,-0.00678676,0.0627682,-0.00598078,0.0606551,-0.00499937,0.0596847,-0.00444081,5,B01,2
