PC1,PC2,soc,cycle,battery
-1.4593535089099328,0.8530371699607987,90,2,B05
-2.1512782570904596,0.2990093620341936,95,2,B05
1.1713482779696245,4.334878789334133,100,1,B06
1.0068379860601688,2.3542221258714005,10,1,B06
0.6357541059362972,2.1011109577869194,15,1,B06
0.6135218722238269,2.0728514583704776,20,1,B06
0.46633783934619033,1.9610924705211257,25,1,B06
0.25754221553112994,1.7235871926047481,30,1,B06
0.29196143712580275,1.7288975941826115,35,1,B06
1.2851899962720505,2.662869443321703,40,1,B06
-0.13525261621185863,1.313943881261251,45,1,B06
0.1278783410184489,1.531672160400609,50,1,B06
0.989702247697073,2.328829455449354,55,1,B06
1.159351533588912,2.500655283541744,5,1,B06
0.3208757285400379,1.724324422864432,60,1,B06
0.09179670163210855,1.631676758127248,65,1,B06
-0.6270883477423315,0.8851660551899037,70,1,B06
-0.0038252360969305275,1.4806970071746717,75,1,B06
-0.17050084799439802,1.3162314557284391,80,1,B06
-0.7534320099144758,0.8531242133504069,85,1,B06
0.185333252918106,1.6856995669015187,90,1,B06
-0.46379413430689337,1.0592999682878332,95,1,B06
-0.41916072881390265,1.592718033665328,100,2,B06
0.5162681029211946,1.7796925918521802,10,2,B06
0.15715599848373277,1.5215440181700173,15,2,B06
0.44770784643159744,1.9476476703508123,20,2,B06
0.1599076580749605,1.6292608266447417,25,2,B06
-0.04194630026667482,1.4667085278813476,30,2,B06
-0.10218228890377282,1.343944531065535,35,2,B06
-0.5534510586639091,0.8663081547445772,40,2,B06
-0.33091829540400597,1.0452565389692658,45,2,B06
-0.49318400117005023,0.9209137320864157,50,2,B06
-0.5485776822906206,0.8426640718917158,55,2,B06
0.3026684860239863,1.68842497314318,5,2,B06
-1.0146402908436576,0.45315692545277936,60,2,B06
-0.8877597694016282,0.6684376447822209,65,2,B06
-0.5439445223615356,0.9958148876529522,70,2,B06
-0.8028263556136646,0.6660626325548789,75,2,B06
-0.9752810229566566,0.539199479199635,80,2,B06
-0.45889917349435544,0.9974005553222403,85,2,B06
-0.3331657863278356,1.0008647187665525,90,2,B06
0.3854862778658374,1.6816011965454616,95,2,B06
-0.6249802455867981,1.5391975780246598,100,1,B07
0.5176042991737209,1.9393818565986738,10,1,B07
0.7513912231503497,2.096013363096125,15,1,B07
0.4374505183819482,1.8027858729024244,20,1,B07
0.8533011921575793,2.333634342530216,25,1,B07
0.5638778611147585,1.9966773620023257,30,1,B07
0.6279692207540225,2.045799441937222,35,1,B07
0.1736595529138012,1.5198272672559012,40,1,B07
0.07012293915910328,1.430942019513581,45,1,B07
0.41379199184819,1.7615577048055042,50,1,B07
0.27632439739567094,1.629282960504413,55,1,B07
0.7672926986062556,2.0716399197791633,5,1,B07
-0.19962584650016896,1.2358354710747463,60,1,B07
0.3921974307620455,1.830257504134701,65,1,B07
