x_tailhead,y_tailhead,intercept,x_ymax,y_ymax,slope,diameter,shape,shoulder,battery,soc,cycle
0.08015018336673346,-0.006640606031397892,0.054733044001087514,0.07019974488977956,-0.00740917721789079,-0.7950471702192973,0.0508342787312919,0.3171189172375044,0,B01,25,2
0.07732663627254509,-0.006565922586062617,0.054316165830249834,0.07007993727454909,-0.007371818862659862,-0.7929864131656602,0.04602094088459051,0.2975749567224502,0,B01,30,2
0.07908275651302604,-0.006317631955842968,0.05463638283854238,0.06987108617234469,-0.00733524140881672,-0.7736176351206762,0.04889274734896733,0.3091239449962395,0,B01,35,2
0.07963640400801604,-0.00612888977696925,0.0548035347441899,0.06858139478957916,-0.007277527608135744,-0.7735916564807399,0.049665738527652284,0.311828108930264,0,B01,40,2
0.07959702705410822,-0.0059516977041560466,0.05486160228109984,0.06896216352705412,-0.007216936269410486,-0.7679362002209101,0.04947084954601676,0.31075814874585467,0,B01,45,2
0.07845167915831663,-0.005826894308039619,0.05471771729736778,0.06894485991983967,-0.007146055371735162,-0.7818610201730449,0.047467923721897703,0.3025296859873881,0,B01,50,2
0.0845156615230461,-0.0063529630525442716,0.05484623093620052,0.06947220420841684,-0.00707015222920217,-0.73653993814342,0.05933886117369115,0.3510524564580872,0,B01,55,2
0.08224190160320641,-0.007765195060493025,0.05543874234684181,0.07341517054108217,-0.007845978626561324,-1.1489126100120823,0.05360631851272919,0.3259063656587387,0,B01,5,2
0.0790978869739479,-0.005395661392151577,0.05406171558027393,0.06803963206412826,-0.0069292625982015806,-0.8194375958746442,0.05007234278734794,0.3165213680350275,0,B01,60,2
0.0775536503006012,-0.005410139530234403,0.05511048214779138,0.06831635571142285,-0.006864918051874776,-0.8886692784766856,0.04488633630561964,0.2893889335423821,0,B01,65,2
0.07899030340681362,-0.005128497883177707,0.05320113062154971,0.06901240521042085,-0.0067211600255306335,-0.9066117418251985,0.05157834557052783,0.32648529848588187,0,B01,70,2
0.07873488376753507,-0.004948511096931861,0.054423168664450114,0.06701917875751502,-0.00664184418458433,-0.855155952127631,0.04862343020616991,0.30877946266949924,0,B01,75,2
0.07672704208416833,-0.00490233146531017,0.0548700848316136,0.0670190741482966,-0.00659952083414605,-0.8372611303535115,0.043713914505109475,0.28486641292098824,0,B01,80,2
0.08098176553106212,-0.004879148411785239,0.054807964563083816,0.06720361082164329,-0.0066870447327595384,-0.7801053860963931,0.05234760193595661,0.32320610444012654,0,B01,85,2
0.0779865987975952,-0.004599156495563467,0.05403337822020078,0.06753911623246493,-0.006735013178442039,-0.8060759498877503,0.04790644115478884,0.3071453422345307,0,B01,90,2
0.07860417134268537,-0.004356065738325275,0.05447264561528691,0.06749320561122245,-0.006801801703934936,-0.8224705085895656,0.04826305145479691,0.30700057408141673,0,B01,95,2
0.06097512044088176,-0.006829716075038909,0.04250334669019781,0.06097512044088176,-0.006829716075038909,-3.136644614606586,0.0369435475013679,0.30293952053105333,0,B02,100,1
